,BRTITLE,BRNUM,STORYNUM,BRSTORY,MAINCHAR,ALLCHAR,ORIGTITLE,ORIGNUM,ORIGYEAR,WRITER,ARTIST,SUMMARY
0,Heróis da TV,1,1,O Devorador de Planetas,Thor,Thor Galactus Tana Nile Odin Sif Registrador 211 Ego O Planeta Vivo,Thor,160,1969,Stan Lee,Jack Kirby,"Tana Nile pede ajuda ao deus do trovão para enfrentar o Devorador de Planetas, que ameaça inúmeros mundos."
1,Heróis da TV,1,2,Deve um deus prevalecer?,Thor,Thor Galactus Ego O Planeta Vivo Registrador 211,Thor,161,1969,Stan Lee,Jack Kirby,Confronto final entre Thor e as forças de Galactus.
2,Heróis da TV,1,3,Duelo de ferro,Punho de Ferro,Punho de Ferro Homem de Ferro Rafael Scarfe Misty Knight Colleen Wing Angar O Gritador Serpente de Aço Gamal Hassan Khumbala Bey Donald Cauley,Iron Fist,1,1975,Chris Claremont,John Byrne,"Nosso herói invade a propriedade de Tony Stark, mas é interceptado pelo Homem de Ferro, que o toma por criminoso."
3,Heróis da TV,1,4,Amargo adeus,Homem de Ferro,Homem de Ferro Mecanóide,Iron Man,32,1970,Allyn Brodsky,George Tuska,"O Ferroso é capturado por um andróide alienígena que se disfarça de humano para espionar a Terra. Mas as coisas se complicam para o raptor quando ele é sequestrado com uma mulher por presidiários em fuga. Agora, terá que enfrentar, além de nosso herói, os perigosos bandidos."
4,Heróis da TV,1,5,Meia-Noite traz a morte!,Shang-Chi - Mestre do Kung Fu,"Shang-Chi - Mestre do Kung Fu Meia-Noite Fu Manchu Si-Fan
Argumento: Jim Starlin Steve Englehart - ‘John Harkness’ Roteiro: Steve Englehart - ‘John Harkness’ Desenho: Jim Starlin Arte-Final: Allen ""Al"" Milgrom Cores: Rita de Carvalho Letrista: Natan Soares Editor original: Roy Thomas
Publicada originalmente em  Special Marvel Edition (1971) n° 16/1974 - Marvel Comics
       
Título original americano: ""Midnight Brings Dark Death!"". Fu Manchu envia o filho adotivo para matar Shang-Chi. Meia-Noite não sabe que seu pai é um vilão e não poupa esforços para eliminar seu irmão adotivo.",Special Marvel Edition,16,1974,Steve Englehart - ‘John Harkness’,Jim Starlin,Fu Manchu envia o filho adotivo para matar Shang-Chi. Meia-Noite não sabe que seu pai é um vilão e não poupa esforços para eliminar seu irmão adotivo.
5,Heróis da TV,1,6,A chama e a fúria,Surfista Prateado,Surfista Prateado Tocha Humana II Quarteto Fantástico Senhor Fantástico Mulher Invisível Coisa Homem-Aranha Estranho Galactus Supersenhor Mefisto,"Silver Surfer, The",15,1970,Stan Lee,John Buscema,"O Surfista vai buscar ajuda no quartel-general do Quarteto Fantástico e, ao chegar, pega trechos de uma conversa e pensa que seus amigos se voltaram contra ele. O Tocha vai atrás do nosso equivocado herói para esclarecer a situação e uma batalha violenta se inicia."
6,Heróis da TV,2,1,O caçador e o holocausto,Capitão Marvel,Capitão Marvel Rick Jones Hulk Mordecai Boggs Capitão América Vingadores Thor Homem de Ferro Gigante Yon-Rogg,Captain Marvel,20,1970,Roy Thomas,Gil Kane,NA
7,Heróis da TV,2,2,O caçador e o holocausto (parte 2),Capitão Marvel,Capitão Marvel Rick Jones Hulk,Captain Marvel,21,1970,Roy Thomas,Gil Kane,NA
8,Heróis da TV,2,3,Sabotagem!,Homem de Ferro,Homem de Ferro Fantasma (Sabotador) Pepper Potts Happy Hogan,Tales of Suspense,63,1965,Stan Lee,Don Heck,
9,Heróis da TV,2,4,Ameaça no Olimpo,Campeões,"Campeões Anjo Hércules Homem de Gelo Motoqueiro Fantasma Viúva Negra II Dionísio Plutão Ares Rainha Hipólita Zeus Caçador de Zeus Afrodite
Argumento: Tony Isabella Roteiro: Bill Mantlo Desenho: George Tuska Arte-Final: Vince Colletta Cores: Ângela Letrista: Natan Soares Editor original: Marv Wolfman
Publicada originalmente em  Champions The (1975) n° 3/1976 - Marvel Comics
       
Título original: ""Assault on Olympus"".","Champions, The",3,1976,Bill Mantlo,George Tuska,
